title,type,release_year,rating,listed_in,description,similarity_score,source_title
Serial Killer with Piers Morgan,TV Show,2018,TV-14,"British TV Shows, Crime TV Shows, Docuseries","Through intense prison interviews, Piers Morgan revisits the crimes of three convicted serial killers and learns more about their motives.",0.32785767,Harold Shipman - Driven to Kill
Inside the Mind of a Serial Killer,TV Show,2015,TV-14,"Crime TV Shows, Docuseries","Mixing dramatic re-enactments with real-life footage, this series delves into the tormented psyches of the world's most infamous serial killers.",0.30333602,Harold Shipman - Driven to Kill
Million Pound Menu,TV Show,2019,TV-MA,"British TV Shows, International TV Shows, Reality TV",Next-gen restaurateurs get the chance to open their own pop-up eateries to impress the paying public – and a panel of discerning U.K. investors.,0.30700776,21 Again
My Unorthodox Life,TV Show,2021,TV-MA,Reality TV,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series.",0.26259398,21 Again
Age Gap Love,TV Show,2017,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",0.22415407,21 Again
The Circle,TV Show,2021,TV-MA,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",0.2097723,21 Again
Killer Women with Piers Morgan,TV Show,2017,TV-MA,"British TV Shows, Crime TV Shows, Docuseries","Journalist Piers Morgan goes behind prison walls to speak with women convicted of shocking crimes, shedding light on what drove them to murder.",0.20573443,21 Again
Hamza's Suitcase,Movie,2017,TV-14,"Comedies, International Movies","When a con man tries to retrieve a bag of money, he swoons for a woman with ties to a notorious crew of criminals.",0.25818887,The Walls of the Moon
The End,Movie,2019,TV-MA,"Action & Adventure, Comedies, International Movies","A wrongly accused man is pursued by a dogged investigator in this action-comedy featuring car chases, dark humor and more than a few vampires.",0.25618944,The Walls of the Moon
Valentino,TV Show,2020,TV-14,"International TV Shows, TV Comedies, TV Dramas","As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist.",0.25050133,The Walls of the Moon
Mr. Romantic,Movie,2009,TV-14,"Comedies, International Movies, Romantic Movies","When a carefree man is left with his uncle's fortune, he can only receive the riches on one condition: he must settle down with a good woman.",0.23982553,The Walls of the Moon
Regatta,Movie,2015,TV-MA,"Action & Adventure, Dramas, International Movies",Inside one of Cairo's most impoverished areas exists a place where criminals control everything and everyone.,0.23178324,The Walls of the Moon
Carlos Ballarta: El amor es de putos,Movie,2016,TV-MA,Stand-Up Comedy,"Carlos Ballarta mocks daily life in Mexico, including public transit, the education system and the corn seller who betrays your confidence.",0.6523775,Carlos Ballarta: Furia Ñera
Alan Saldaña: Mi vida de pobre,Movie,2017,TV-MA,Stand-Up Comedy,Mexican comic Alan Saldaña has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.,0.40591595,Carlos Ballarta: Furia Ñera
Ricardo O'Farrill: Abrazo navideño,Movie,2016,TV-MA,Stand-Up Comedy,"The expressive Ricardo O'Farrill uses his astute comedic sensibilities to tease Christmas traditions, and not even Santa Claus escapes unscathed.",0.3882626,Carlos Ballarta: Furia Ñera
Jani Dueñas: Grandes fracasos de ayer y hoy,Movie,2018,TV-MA,Stand-Up Comedy,"Chilean comedian and personality Jani Dueñas pours out her feelings on issues that are all too universal, from aging to dieting to sex.",0.3828098,Carlos Ballarta: Furia Ñera
Luciano Mellera: Infantiloide,Movie,2018,TV-14,Stand-Up Comedy,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,0.37969074,Carlos Ballarta: Furia Ñera
Hole in the Wall,Movie,2016,TV-MA,"Dramas, International Movies","Diagnosed with colon cancer, a free-spirited man embarks on an illuminating road trip with his son through South Africa.",0.31716925,André & his olive tree
Old Lord Savanna,Movie,2018,TV-14,"Documentaries, International Movies",This documentary captures the environmental and societal impact of Brazil's Cerrado savanna suffering from severe deforestation.,0.21474095,André & his olive tree
Shine Your Eyes,Movie,2020,TV-MA,"Dramas, Independent Movies, International Movies","A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.",0.16964912,André & his olive tree
Airplane Mode,Movie,2020,TV-PG,"Comedies, International Movies, Romantic Movies","When Ana, an influencer, crashes her car while talking on the phone, she’s shipped to her grumpy grandfather's farm – and forced into a digital detox.",0.1618207,André & his olive tree
Bad Seeds,Movie,2018,TV-MA,"Comedies, Dramas, International Movies","Troubled by his past, a scam artist who runs a petty racket with his adoptive mom finds redemption while mentoring a group of difficult students.",0.1591388,André & his olive tree
Small Crimes,Movie,2017,TV-MA,"Dramas, Thrillers","After serving a six-year prison sentence, an ex-cop tries to rebuild his life in his hometown, but gets caught up in the fallout from his past.",0.1759074,Small Town Crime
Outlawed,Movie,2018,TV-MA,Action & Adventure,"After a failed mission, an ex-Royal Marines Commando tries to overcome his demons while investigating the death of his ex-girlfriend's father.",0.17565693,Small Town Crime
Things Heard & Seen,Movie,2021,TV-MA,"Horror Movies, Thrillers",A young woman discovers that both her husband and their new home harbor sinister secrets after they leave Manhattan for small-town life.,0.17168345,Small Town Crime
Jeremy Scott: The People's Designer,Movie,2015,PG-13,Documentaries,The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.,0.16256496,Small Town Crime
Hamburger Hill,Movie,1987,R,"Action & Adventure, Dramas",The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,0.14780143,Small Town Crime
Tig Notaro Happy To Be Here,Movie,2018,TV-14,Stand-Up Comedy,"Comedian Tig Notaro unleashes her inner prankster in a playful stand-up special packed with funny anecdotes, parenting confessions and more.",0.7012895,Tig
Leo & Tig,TV Show,2017,TV-Y,Kids' TV,Spunky leopard cub Leo and his loyal tiger pal Tig team up for fun and adventure as they explore the forest and learn about ancient legends.,0.3727346,Tig
Ellen DeGeneres: Relatable,TV Show,2018,TV-MA,"Stand-Up Comedy & Talk Shows, TV Comedies","In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt – and hilarious – lessons she's learned along the way.",0.25595474,Tig
Hazel Brugger: Tropical,Movie,2020,TV-MA,Stand-Up Comedy,"In this stand-up special, comedian Hazel Brugger offers her breezy takes on unruly geese, chatty gynecologists, German bank loans and more.",0.19351381,Tig
Fakkah Fuzz: Almost Banned,Movie,2018,TV-MA,Stand-Up Comedy,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.,0.18558532,Tig
13 Cameras,Movie,2015,NR,"Horror Movies, Independent Movies, Thrillers","Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.",0.19354567,The Block Island Sound
Tremors: Shrieker Island,Movie,2020,PG-13,"Action & Adventure, Horror Movies","When massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.",0.19043435,The Block Island Sound
A Kid from Coney Island,Movie,2019,TV-MA,"Documentaries, Sports Movies","From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.",0.18390244,The Block Island Sound
The Curse of Oak Island,TV Show,2016,TV-PG,"Docuseries, Science & Nature TV","On an ominous island off of Nova Scotia, two brothers chase historical theories on a quest for enigmatic treasure.",0.15901001,The Block Island Sound
The Lincoln Lawyer,Movie,2011,R,"Dramas, Thrillers",A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.,0.15546593,The Block Island Sound
Miss Julie,Movie,2014,PG-13,"Dramas, International Movies","On a summer night in 1890 Ireland, the unsettled daughter of aristocrats coaxes her father's valet to seduce her, though he's engaged to their cook.",0.17896104,The Lobster
Extras,TV Show,2006,TV-MA,"British TV Shows, TV Comedies","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras.",0.15945056,The Lobster
Into the Forest,Movie,2015,R,"Dramas, International Movies, Sci-Fi & Fantasy","In the near future, two frightened sisters fight for survival after losing their father during a deadly, quietly looming apocalypse.",0.15750654,The Lobster
Summer of '92,Movie,2015,TV-MA,"Dramas, International Movies, Sports Movies","When a quirk of fate kicks the Danish national soccer team into the European Championship final, the coach must whip his unprepared squad into shape.",0.1540466,The Lobster
Ava,Movie,2020,R,"Action & Adventure, Dramas",An elite assassin wrestling with doubts about her work scrambles to protect herself — and her estranged family — after a hit goes dangerously wrong.,0.1512129,The Lobster
A Haunted House,Movie,2013,R,"Comedies, Horror Movies","This spoof on scary movies follows a young couple settling into a new home, where an evil spirit — and horrifyingly hilarious antics — await.",0.43007752,A Haunted House 2
Scary Movie,Movie,2000,R,"Comedies, Horror Movies","The Wayans brothers spoof some of Hollywood's biggest blockbusters, including Scream, I Know What You Did Last Summer, The Matrix and American Pie.",0.27107587,A Haunted House 2
Marlon Wayans: Woke-ish,Movie,2018,TV-MA,Stand-Up Comedy,"Rollicking, outrageous and audacious, Marlon Wayans gets raw on racism, age-appropriate rap rhymes, gay rights, raising kids and even the Kardashians.",0.25380692,A Haunted House 2
Marlon,TV Show,2018,TV-14,TV Comedies,"After the friendliest divorce ever, a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.",0.23878178,A Haunted House 2
Cedric the Entertainer: Live from the Ville,Movie,2016,TV-MA,Stand-Up Comedy,"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk.""",0.22585371,A Haunted House 2
World War II in Colour,TV Show,2009,TV-MA,"British TV Shows, Docuseries, International TV Shows",Footage of the most dramatic moments from World War II is restored in color and high definition for this historical documentary series.,0.19571239,Planetarium
Yoga Hosers,Movie,2016,PG-13,"Comedies, Horror Movies, Independent Movies","With an all-important high school party at stake, two teen yoga fanatics enlist a man hunter to help fight an army of monsters created by Nazis.",0.1812666,Planetarium
My Scientology Movie,Movie,2015,TV-MA,Documentaries,"After speaking with former Scientology members and being stonewalled by higher-ups, filmmaker Louis Theroux hires actors to re-create alleged events.",0.17995442,Planetarium
The Exception,Movie,2016,R,"Dramas, Romantic Movies","During World War II, a Nazi officer charged with protecting an exiled Kaiser Wilhelm II from spies begins a steamy affair with a secretive Dutch maid.",0.17927475,Planetarium
The Devil's Mistress,Movie,2016,TV-MA,"Dramas, International Movies","Before the dawn of World War II, an ambitious actress pursues her dreams in Berlin. But her plans derail when she becomes Joseph Goebbels’ mistress.",0.17719723,Planetarium
Sling Blade,Movie,1996,R,"Dramas, Independent Movies","A man returns home after being released from a psychiatric hospital, where he'd been confined since age 12 for murdering his mother and her lover.",0.22731751,Mr. Woodcock
Thunder Force,Movie,2021,PG-13,"Action & Adventure, Comedies",Two childhood best friends reunite as an unlikely crime-fighting superhero duo when one invents a formula that gives ordinary people superpowers.,0.22213979,Mr. Woodcock
The Fighter,Movie,2010,R,"Dramas, Sports Movies","After a string of defeats, a boxer rediscovers his fighting will with help from his trainer and half-brother, a once-talented pugilist.",0.1980016,Mr. Woodcock
Girlfriends' Guide to Divorce,TV Show,2019,TV-MA,"TV Comedies, TV Dramas","After the world learns the truth about her failing marriage, a successful self-help author tries to salvage her career and find her way as a divorcée.",0.19148156,Mr. Woodcock
Krystal,Movie,2017,R,"Comedies, Dramas",A kid with a heart condition falls for an ex-stripper with a lot of baggage and joins her Alcoholics Anonymous group to catch her attention.,0.18089901,Mr. Woodcock
Four Seasons in Havana,TV Show,2016,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","As Havana slowly revolves through the year, wistful detective Mario Conde probes the sultry heart of the city to investigate dark and deadly crimes.",0.25849703,"Heidi, bienvenida a casa"
When Two Worlds Collide,Movie,2016,TV-14,"Documentaries, International Movies",This documentary takes a hard look at how indigenous peoples clashed violently with the Peruvian government over land and economics in the Amazon.,0.20692977,"Heidi, bienvenida a casa"
Heidi,TV Show,2020,TV-Y7,Kids' TV,A plucky young orphan sent to live with her grandfather in the mountains discovers wonder and adventure around every corner.,0.20613997,"Heidi, bienvenida a casa"
Apaches,TV Show,2016,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.,0.20208621,"Heidi, bienvenida a casa"
The Kingdom,TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",0.19414964,"Heidi, bienvenida a casa"
My Next Guest with David Letterman and Shah Rukh Khan,Movie,2019,TV-PG,International Movies,"""King of Bollywood"" Shah Rukh Khan opens up about his rise to fame, his family and his billions of fans as he and Dave meet up in Mumbai and New York.",0.2825241,Om Shanti Om
Happy New Year,Movie,2014,TV-14,"Action & Adventure, Comedies, Dramas",A revenge-seeking diamond thief gathers a ragtag crew to infiltrate a Dubai hotel hosting a dance contest. But first they have to learn how to dance.,0.26559108,Om Shanti Om
Kabhi Alvida Naa Kehna,Movie,2006,TV-14,"Dramas, International Movies, Romantic Movies","Unhappy in their respective marriages, an ex-footballer and a teacher find true love in each other, but guilt, jealousy and tragedy cloud their affair.",0.25201175,Om Shanti Om
Don,Movie,2006,TV-14,"Action & Adventure, International Movies","A ruthless crime boss and drug lord is nabbed and held captive by the authorities, who send his naïve look-alike to infiltrate the man's gang.",0.24670145,Om Shanti Om
Chupan Chupai,Movie,2017,TV-14,"Comedies, International Movies","The lives of five hapless, petty criminals careen into madcap disarray when their plan to abduct a wealthy minister’s son goes horribly wrong.",0.23899163,Om Shanti Om
Get Even,TV Show,2020,TV-PG,"British TV Shows, Crime TV Shows, International TV Shows","In a secret act of skillful revenge, four private school classmates team up and work together to expose a string of schoolwide injustices.",0.2614055,Hati Perempuan
Wadi,TV Show,2015,TV-14,"International TV Shows, TV Dramas","After the death of his father, a passive and good-natured teenager named Wadi struggles with family, work and love.",0.25666848,Hati Perempuan
Galih dan Ratna,Movie,2017,TV-PG,"Dramas, International Movies, Romantic Movies",Sparks fly between the new girl at school and the misfit with a passion for music. Yet the world threatens to put a stop to their innocent love song.,0.25443977,Hati Perempuan
Queen of No Marriage,TV Show,2009,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.,0.24622755,Hati Perempuan
The Woods,TV Show,2020,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas",Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.,0.24420877,Hati Perempuan
CAROLE & TUESDAY,TV Show,2019,TV-MA,"Anime Series, International TV Shows, Teen TV Shows","Part-timer Carole meets rich girl Tuesday, and each realizes they've found the musical partner they need. Together, they just might make it.",0.30798477,Hi Score Girl
The Irregular at Magic High School,TV Show,2014,TV-14,"Anime Series, International TV Shows, Teen TV Shows","Siblings Tatsuya and Miyuki enroll at Magic High School, where Miyuki's honors status comes between her and her underachieving older brother.",0.267301,Hi Score Girl
K,TV Show,2012,TV-MA,"Anime Series, Crime TV Shows, International TV Shows","A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two powerful kings and their forces.",0.2517925,Hi Score Girl
Gurren Lagann,TV Show,2007,TV-14,"Anime Series, International TV Shows","When a young laborer escapes to the world aboveground, he discovers a violent land in which humans battle robots controlled by a power-hungry noble.",0.24998282,Hi Score Girl
JoJo's Bizarre Adventure,TV Show,2016,TV-MA,"Anime Series, International TV Shows",Multiple generations of the Joestar family – all with the same nickname – confront supernatural villains through a series of time periods.,0.2314206,Hi Score Girl
Love in a Puff,Movie,2010,TV-MA,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections.",0.21410812,Young Tiger
Love In A Puff,Movie,2010,TV-MA,"Comedies, Dramas, International Movies","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating a meeting between Cherie, a makeup saleswoman, and Jimmy, an advertising exec.",0.21019165,Young Tiger
Hero,Movie,1997,TV-MA,"Action & Adventure, International Movies","A pugilist from Shantung struggles to rise to the top of the Shanghai triad ladder, where his stellar martial arts talents can shine.",0.20246005,Young Tiger
Mr. Virgin,Movie,1984,TV-14,"Comedies, Dramas, International Movies","When a young man ignores a feng shui master’s warning and decides to marry before turning 30, a series of mishaps begins to curse his life.",0.19087997,Young Tiger
A Love Story,Movie,2007,TV-14,"Dramas, International Movies, Romantic Movies","Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn.",0.1804334,Young Tiger
Dolly Parton: Here I Am,Movie,2019,TV-14,"Documentaries, Music & Musicals","Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",0.60618967,Dolly Parton: A MusiCares Tribute
Dolly Parton’s Christmas on the Square,Movie,2020,TV-PG,"Children & Family Movies, Music & Musicals","Seasonal cheer comes to a screeching halt when a cold-hearted woman tries to sell her hometown's land. Can music, magic and memories change her mind?",0.43996775,Dolly Parton: A MusiCares Tribute
Dolly Parton's Heartstrings,TV Show,2019,TV-14,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.",0.3448856,Dolly Parton: A MusiCares Tribute
Amandla! A Revolution in Four Part Harmony,Movie,2002,PG-13,"Documentaries, International Movies, Music & Musicals",This documentary recounts the fascinating and little-known role that music has played in the struggle to eradicate apartheid in South Africa.,0.2810633,Dolly Parton: A MusiCares Tribute
Ajab Prem Ki Ghazab Kahani,Movie,2009,TV-14,"Comedies, International Movies, Music & Musicals","A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",0.2272629,Dolly Parton: A MusiCares Tribute
Reincarnated,Movie,2012,R,"Documentaries, Music & Musicals","Vice magazine's Andy Capper follows rapper Snoop Dogg on a pilgrimage to Jamaica, where he rechristens himself Snoop Lion, a reggae artist.",0.3058465,Mac & Devin Go to High School
Coach Snoop,TV Show,2018,TV-MA,"Docuseries, Reality TV","Fueled by his own rough upbringing, Snoop Dogg creates a youth football league to keep at-risk kids off the streets and focused on their goals.",0.24511644,Mac & Devin Go to High School
How to Be a Player,Movie,1997,R,Comedies,"Dray lives life one woman at a time and is the envy of all his friends, until his sister decides to show him the error of his philandering ways.",0.21566245,Mac & Devin Go to High School
Mike Epps: Don't Take It Personal,Movie,2015,TV-MA,Stand-Up Comedy,Mike Epps tears up the stage at L.A.'s historic Orpheum Theatre in a special packed with blistering impressions and unapologetically raunchy swagger.,0.20617104,Mac & Devin Go to High School
Mike Epps: Only One Mike,Movie,2019,TV-MA,Stand-Up Comedy,"In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more.",0.19405055,Mac & Devin Go to High School
The Boys in the Band: Something Personal,Movie,2020,TV-MA,"Documentaries, LGBTQ Movies","Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",0.2187374,Dream Boat
Hating Peter Tatchell,Movie,2020,TV-MA,"Documentaries, International Movies, LGBTQ Movies",This documentary follows gay rights activist Peter Tatchell from his early life to his fight for justice amid controversy and political turmoil.,0.2158555,Dream Boat
Rising Phoenix,Movie,2020,PG-13,"Documentaries, International Movies, Sports Movies","Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence.",0.20317563,Dream Boat
Who the F**k Is That Guy?,Movie,2017,TV-MA,"Documentaries, LGBTQ Movies, Music & Musicals","Take a ride through the life of record exec Michael Alago, a gay Puerto Rican New Yorker who signed a slew of musical acts, including Metallica.",0.20296192,Dream Boat
Michael Lost and Found,Movie,2017,TV-PG,"Documentaries, International Movies, LGBTQ Movies","Benjie Nycum travels to Wyoming to visit his ex-lover, Michael Glatze, a former gay activist who now lives with his wife and works as a church pastor.",0.20121548,Dream Boat
The Thief and the Imbecile,Movie,2013,TV-14,"Dramas, International Movies","A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor.",0.29734308,Eyes of a Thief
يوم الدين,Movie,2018,TV-14,"Dramas, Independent Movies, International Movies","A man cured of leprosy and a young orphan leave their colony for the first time to travel across Egypt, hoping to find the families they lost.",0.24262571,Eyes of a Thief
Back to Q82,Movie,2017,TV-14,"Comedies, International Movies","Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.",0.20715466,Eyes of a Thief
Scarecrow,Movie,2019,TV-MA,"Comedies, International Movies","When his former partners vote to sell off a pricey piece of stolen jewelry, a thief recruits his grandson to help him retain it and repent for his deed.",0.2043864,Eyes of a Thief
The Platform,TV Show,2021,TV-14,"International TV Shows, TV Dramas, TV Mysteries","A programming genius builds a fact-finding, truth-seeking internet portal while reckoning with trouble at home.",0.19764405,Eyes of a Thief
ZZ TOP: THAT LITTLE OL' BAND FROM TEXAS,Movie,2019,TV-MA,"Documentaries, Music & Musicals",This documentary delves into the mystique behind the blues-rock trio and explores how the enigmatic band created their iconic look and sound.,0.28910238,Rush: Beyond the Lighted Stage
The River Runner,Movie,2021,TV-MA,"Documentaries, Sports Movies","In this documentary, a kayaker sets out to become the first man to paddle the four great rivers that flow from Tibet's sacred Mount Kailash.",0.2403051,Rush: Beyond the Lighted Stage
Big Time Rush,TV Show,2013,TV-G,Kids' TV,"After a talent agent discovers four talented pals and turns them into a boy band called Big Time Rush, they must adjust to their exciting new lives.",0.22437671,Rush: Beyond the Lighted Stage
Sugar Rush Christmas,TV Show,2020,TV-14,Reality TV,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.",0.2158934,Rush: Beyond the Lighted Stage
Unchained: The Untold Story of Freestyle Motocross,Movie,2016,TV-MA,"Documentaries, Sports Movies","This adrenaline-rush documentary traces the rise of freestyle motocross, arguably the world's most extreme sport, and spotlights its pioneers.",0.2043225,Rush: Beyond the Lighted Stage
What Would Sophia Loren Do?,Movie,2021,TV-14,Documentaries,"In this delightful short documentary, an Italian American grandmother and film buff finds strength and joy in the life of her screen idol, Sophia Loren.",0.27367178,I Am Not Okay With This
Legacies,TV Show,2019,TV-14,"TV Dramas, TV Sci-Fi & Fantasy, Teen TV Shows","Born into a rare supernatural bloodline, Hope Mikaelson attends a gifted private school to master her powers and control her innate urges for evil.",0.18804607,I Am Not Okay With This
100% Hotter,TV Show,2017,TV-14,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",0.17695136,I Am Not Okay With This
"Roswell, New Mexico",TV Show,2020,TV-14,"Classic & Cult TV, TV Dramas, TV Sci-Fi & Fantasy","After 10 years, a woman returns to her sleepy tourist-occupied hometown and discovers her high-school crush is also an unusual foreigner.",0.17664698,I Am Not Okay With This
Wyatt Cenac: Brooklyn,Movie,2014,TV-MA,Stand-Up Comedy,Wyatt Cenac heads to Brooklyn to share his observations on the borough that's the backdrop for three sitcoms and a reality show about cheesemongers.,0.17587031,I Am Not Okay With This
April and the Extraordinary World,Movie,2015,PG,"Action & Adventure, Comedies, International Movies","After the world's top scientists disappear, orphaned April secretly forges ahead with a family experiment and gets tangled up in a vast conspiracy.",0.22620201,Archibald's Next Big Thing
Adam Ruins Everything,TV Show,2018,TV-14,TV Comedies,"Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",0.20847222,Archibald's Next Big Thing
Trolls: The Beat Goes On!,TV Show,2019,TV-Y7,"Kids' TV, TV Comedies","As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.",0.20497374,Archibald's Next Big Thing
Sharkdog,TV Show,2021,TV-Y,Kids' TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",0.19562703,Archibald's Next Big Thing
Chelsea Peretti: One of the Greats,Movie,2014,TV-MA,Stand-Up Comedy,"""Brooklyn Nine-Nine"" star Chelsea Peretti showcases her diverse talents in this dark yet silly reimagining of the comedy special.",0.19040045,Archibald's Next Big Thing
Mike Birbiglia: The New One,Movie,2019,TV-MA,Stand-Up Comedy,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,0.7483467,Mike Birbiglia: My Girlfriend's Boyfriend
Mike Birbiglia: Thank God for Jokes,Movie,2017,TV-MA,Stand-Up Comedy,"Comedian Mike Birbiglia takes the stage in Brooklyn and hits on hard truths about puppets, late people and the very real dangers of being funny.",0.7095563,Mike Birbiglia: My Girlfriend's Boyfriend
Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,Movie,2008,TV-MA,Stand-Up Comedy,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,0.62413174,Mike Birbiglia: My Girlfriend's Boyfriend
Don't Think Twice,Movie,2016,R,"Comedies, Dramas, Independent Movies",Six talented but struggling improv comics see a sudden shift in their troupe's dynamic after one of them lands a much-coveted gig on television.,0.4363509,Mike Birbiglia: My Girlfriend's Boyfriend
Tramps,Movie,2017,TV-MA,"Dramas, Independent Movies, Romantic Movies","Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong.",0.23425797,Mike Birbiglia: My Girlfriend's Boyfriend
Space Cowboys,Movie,2000,PG-13,"Action & Adventure, Dramas, Sci-Fi & Fantasy",A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.,0.17972316,Mystic River
The River Wild,Movie,1994,PG-13,Action & Adventure,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river.",0.17590758,Mystic River
Milk,Movie,2008,R,"Dramas, Independent Movies, LGBTQ Movies","Sean Penn stars in this biopic about Harvey Milk, the openly gay San Francisco politician who was murdered by a disgruntled city supervisor in 1978.",0.1736155,Mystic River
Million Dollar Baby,Movie,2004,PG-13,"Dramas, Sports Movies","When a cantankerous trainer mentors a persistent amateur boxer determined to go pro, deep-seated emotions become their strongest opponents.",0.17017156,Mystic River
The Drowning,Movie,2016,TV-MA,Thrillers,"Child psychologist Tom Seymour's testimony helped convict a boy of murder. Years later, their paths cross again, raising uncomfortable questions.",0.17002134,Mystic River
Ip Man,Movie,2008,R,"Action & Adventure, Dramas, International Movies","An occupying Japanese general challenges Chinese men to duels to prove the superiority of the Japanese, but Ip Man refuses to fight – at first.",0.2406829,God of War
Ip Man 2,Movie,2010,R,"Action & Adventure, International Movies","New in Hong Kong, martial arts instructor Ip Man perseveres and retaliates against his rivals' opposition to the Wing Chun fighting style he teaches.",0.20773879,God of War
"My Schoolmate, the Barbarian",Movie,2001,TV-14,"Action & Adventure, Comedies, International Movies","A brainy private school student is transferred to a far less elite institution, where he must fend off classmates who settle scores with fistfights.",0.20471384,God of War
14 Blades,Movie,2010,R,"Action & Adventure, International Movies","In the age of the Ming Dynasty, Quinglong is the best of the Jinyiwei, an elite assassin squad made up of highly trained former street urchins. When evil eunuch Jia unseats the emperor, Quinglong is called to action but is quickly betrayed.",0.18761256,God of War
Drink Drank Drunk,Movie,2016,TV-MA,"Comedies, International Movies","Too hungover to report as a witness in a criminal trial the day after his birthday party, a young man and his pals do some unexpected soul-searching.",0.18537429,God of War
Danur: I Can See Ghosts,Movie,2017,TV-MA,"Horror Movies, International Movies","Adapted from a best-selling novel, this horror film shows Risa befriending ghosts until an evil spirit tries to take her sister to the other side.",0.17877491,Ghosts of War
